group_id,raw_detection_number_in_group,raw_video_name,raw_stop_start_time,raw_stop_end_time,raw_interval_seconds,seconds_from_group_start,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group
40,1,cortexvpu-01a-005-41884872_2026-06-19_02-57-14_444881.ts,2026-06-19 03:57:20.057777778,2026-06-19 03:57:26.566666667,6.508888,0.0,2026-06-19 03:57:20.057777778,2026-06-19 03:57:26.566666667,6.508888889,1
41,1,cortexvpu-01a-005-41884872_2026-06-19_03-04-57_791037.ts,2026-06-19 04:05:01.188888889,2026-06-19 04:05:14.593333333,13.404444,0.0,2026-06-19 04:05:01.188888889,2026-06-19 04:05:14.593333333,13.404444444,1
42,1,cortexvpu-01a-005-41884872_2026-06-19_03-09-41_754057.ts,2026-06-19 04:10:04.038888889,2026-06-19 04:10:17.282222222,13.243333,0.0,2026-06-19 04:10:04.038888889,2026-06-19 04:10:17.282222222,13.243333333,1
43,1,cortexvpu-01a-005-41884872_2026-06-19_03-13-14_762454.ts,2026-06-19 04:13:16.706666667,2026-06-19 04:13:25.954444444,9.247777,0.0,2026-06-19 04:13:16.706666667,2026-06-19 04:13:25.954444444,9.247777777,1
44,1,cortexvpu-01a-005-41884872_2026-06-19_03-16-47_834679.ts,2026-06-19 04:17:46.385555556,2026-06-19 04:17:56.857777778,10.472222,0.0,2026-06-19 04:17:46.385555556,2026-06-19 04:17:56.857777778,10.472222222,1
45,1,cortexvpu-01a-005-41884872_2026-06-19_03-17-58_751527.ts,2026-06-19 04:18:00.062222222,2026-06-19 04:18:01.995555556,1.933333,0.0,2026-06-19 04:18:00.062222222,2026-06-19 04:18:01.995555556,1.933333334,1
46,1,cortexvpu-01a-005-41884872_2026-06-19_03-19-09_569304.ts,2026-06-19 04:19:11.062222222,2026-06-19 04:19:16.475555556,5.413333,0.0,2026-06-19 04:19:11.062222222,2026-06-19 04:19:16.475555556,5.413333334,1
47,1,cortexvpu-01a-005-41884872_2026-06-19_03-19-17_245167.ts,2026-06-19 04:19:19.062222222,2026-06-19 04:19:22.477777778,3.415555,0.0,2026-06-19 04:19:19.062222222,2026-06-19 04:19:28.475555556,9.413333334,2
47,2,cortexvpu-01a-005-41884872_2026-06-19_03-19-21_245167.ts,2026-06-19 04:19:22.224444444,2026-06-19 04:19:28.475555556,6.251111,3.162222,2026-06-19 04:19:19.062222222,2026-06-19 04:19:28.475555556,9.413333334,2
48,1,cortexvpu-01a-005-41884872_2026-06-19_03-19-58_012900.ts,2026-06-19 04:20:04.025555556,2026-06-19 04:20:05.765555556,1.74,0.0,2026-06-19 04:20:04.025555556,2026-06-19 04:20:05.765555556,1.74,1
49,1,cortexvpu-01a-005-41884872_2026-06-19_03-38-15_886285.ts,2026-06-19 04:39:06.007777778,2026-06-19 04:39:09.745555556,3.737777,0.0,2026-06-19 04:39:06.007777778,2026-06-19 04:39:09.745555556,3.737777778,1
50,1,cortexvpu-01a-005-41884872_2026-06-19_03-50-44_016667.ts,2026-06-19 04:51:18.187777778,2026-06-19 04:51:25.083333333,6.895555,0.0,2026-06-19 04:51:18.187777778,2026-06-19 04:51:25.083333333,6.895555555,1
51,1,cortexvpu-01a-005-41884872_2026-06-19_03-53-03_022603.ts,2026-06-19 04:53:16.050000000,2026-06-19 04:53:22.268888889,6.218888,0.0,2026-06-19 04:53:16.050000000,2026-06-19 04:53:22.268888889,6.218888889,1
52,1,cortexvpu-01a-005-41884872_2026-06-19_03-54-13_948410.ts,2026-06-19 04:54:14.063333333,2026-06-19 04:54:15.996666667,1.933333,0.0,2026-06-19 04:54:14.063333333,2026-06-19 04:54:15.996666667,1.933333334,1
