extracted_stop_id,stop_time,stop_end_time,source_detection_count,source_first_video_name,source_last_video_name,Time,Period,Type,Operator,Time type,Time.1,Group,Reason 1,Reason 2,Reason 3,Reason 4,Product,Batch,Bulk,Order,harford_original_time,harford_time,harford_stop_id,harford_duration_minutes,matched_harford_stop,time_difference_seconds,absolute_time_difference_seconds
26,2026-06-19 06:17:46.411111111,2026-06-19 06:17:51.953333333,1,cortexvpu-01a-005-41884872_2026-06-19_05-17-10_371736.ts,cortexvpu-01a-005-41884872_2026-06-19_05-17-10_371736.ts,,,,,,,,,,,,,,,,,,,,False,,
27,2026-06-19 06:24:30.822222222,2026-06-19 06:24:41.938888889,1,cortexvpu-01a-005-41884872_2026-06-19_05-24-16_532165.ts,cortexvpu-01a-005-41884872_2026-06-19_05-24-16_532165.ts,2026-06-19 06:22:51.420000,06:22:51 - 06:23:08,DB,Jean Cairns,Machine,0:00:17,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 06:22:51.420,2026-06-19 06:22:51.420,114.0,0.2833333333333333,True,-99.402222222,99.402222222
28,2026-06-19 06:28:42.295555556,2026-06-19 06:28:52.155555556,1,cortexvpu-01a-005-41884872_2026-06-19_05-27-49_556459.ts,cortexvpu-01a-005-41884872_2026-06-19_05-27-49_556459.ts,,,,,,,,,,,,,,,,,,,,False,,
29,2026-06-19 06:31:09.557777778,2026-06-19 06:31:17.903333333,1,cortexvpu-01a-005-41884872_2026-06-19_05-30-20_025811.ts,cortexvpu-01a-005-41884872_2026-06-19_05-30-20_025811.ts,,,,,,,,,,,,,,,,,,,,False,,
30,2026-06-19 06:39:52.388888889,2026-06-19 06:39:57.576666667,1,cortexvpu-01a-005-41884872_2026-06-19_05-38-56_582628.ts,cortexvpu-01a-005-41884872_2026-06-19_05-38-56_582628.ts,,,,,,,,,,,,,,,,,,,,False,,
31,2026-06-19 07:45:10.194444444,2026-06-19 07:45:19.120000000,1,cortexvpu-01a-005-41884872_2026-06-19_06-44-13_891712.ts,cortexvpu-01a-005-41884872_2026-06-19_06-44-13_891712.ts,,,,,,,,,,,,,,,,,,,,False,,
32,2026-06-19 08:08:08.050000000,2026-06-19 08:08:18.908888889,1,cortexvpu-01a-005-41884872_2026-06-19_07-07-55_096132.ts,cortexvpu-01a-005-41884872_2026-06-19_07-07-55_096132.ts,,,,,,,,,,,,,,,,,,,,False,,
33,2026-06-19 08:46:55.688888889,2026-06-19 08:46:57.171111111,1,cortexvpu-01a-005-41884872_2026-06-19_07-46-37_333333.ts,cortexvpu-01a-005-41884872_2026-06-19_07-46-37_333333.ts,,,,,,,,,,,,,,,,,,,,False,,
34,2026-06-19 09:06:47.052222222,2026-06-19 09:06:50.242222222,1,cortexvpu-01a-005-41884872_2026-06-19_08-06-36_619355.ts,cortexvpu-01a-005-41884872_2026-06-19_08-06-36_619355.ts,,,,,,,,,,,,,,,,,,,,False,,
35,2026-06-19 09:23:47.144444444,2026-06-19 09:24:05.221111111,1,cortexvpu-01a-005-41884872_2026-06-19_08-23-03_524141.ts,cortexvpu-01a-005-41884872_2026-06-19_08-23-03_524141.ts,2026-06-19 09:24:27.415000,09:24:27 - 09:25:19,DB,Sarah Williams,Machine,0:00:52,,Shrinkwrapper,Infeed > Container,Fallen,TP4,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 09:24:27.415,2026-06-19 09:24:27.415,115.0,0.8666666666666667,True,40.270555556,40.270555556
