harford_stop_id,harford_stop_start_time,harford_stop_end_time,harford_duration_seconds,harford_duration_minutes,grouped_starts_inside_harford_duration,grouped_intervals_overlapping_harford_duration,nearest_grouped_stop_id,nearest_grouped_stop_start_time,signed_seconds_from_harford_start_to_nearest_grouped_start,absolute_seconds_from_harford_start_to_nearest_grouped_start
125,2026-06-19 13:34:43.611,2026-06-19 13:36:21.611,98.0,1.6333333333333333,0,0,146,2026-06-19 13:31:35.166666667,-188.444333333,188.444333333
126,2026-06-19 13:41:13.472,2026-06-19 13:42:47.472,94.0,1.5666666666666667,1,1,148,2026-06-19 13:41:49.166666667,35.694666667,35.694666667
127,2026-06-19 13:47:20.369,2026-06-19 13:49:18.369,118.0,1.9666666666666666,2,2,150,2026-06-19 13:47:14.166666667,-6.202333333,6.202333333
128,2026-06-19 14:18:22.154,2026-06-19 14:20:56.154,154.0,2.566666666666667,3,3,162,2026-06-19 14:18:22.166666667,0.012666667,0.012666667
129,2026-06-19 14:24:26.805,2026-06-19 14:24:53.805,27.0,0.45,0,0,165,2026-06-19 14:23:38.916666667,-47.888333333,47.888333333
130,2026-06-19 14:31:30.673,2026-06-19 14:34:15.673,165.0,2.75,3,3,167,2026-06-19 14:31:51.166666667,20.493666667,20.493666667
131,2026-06-19 14:43:11.738,2026-06-19 14:44:36.738,85.0,1.4166666666666667,0,0,173,2026-06-19 14:40:06.166666667,-185.571333333,185.571333333
132,2026-06-19 14:47:55.487,2026-06-19 14:49:38.487,103.0,1.7166666666666666,0,0,174,2026-06-19 14:52:33.833333333,278.346333333,278.346333333
133,2026-06-19 14:53:19.827,2026-06-19 14:54:33.827,74.0,1.2333333333333334,1,1,175,2026-06-19 14:53:32.166666667,12.339666667,12.339666667
134,2026-06-19 14:57:47.430,2026-06-19 14:59:36.430,109.0,1.8166666666666667,0,0,177,2026-06-19 14:57:21.166666667,-26.263333333,26.263333333
135,2026-06-19 15:07:55.753,2026-06-19 15:09:58.753,122.99999999999999,2.05,2,2,178,2026-06-19 15:07:03.083333333,-52.669666667,52.669666667
