group_id,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group,seconds_since_previous_group,first_video_in_group,last_video_in_group
123,2026-06-19 12:06:12.166666667,2026-06-19 12:06:14.333333333,2.166666666,1,30.333333334,cortexvpu-01a-005-41884872_2026-06-19_11-06-12_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-06-12_900000.ts
124,2026-06-19 12:07:13.166666667,2026-06-19 12:07:15.583333333,2.416666666,1,58.833333334,cortexvpu-01a-005-41884872_2026-06-19_11-07-13_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-07-13_900000.ts
125,2026-06-19 12:21:14.666666667,2026-06-19 12:21:18.333333333,3.666666666,1,839.083333334,cortexvpu-01a-005-41884872_2026-06-19_11-20-06_066667.ts,cortexvpu-01a-005-41884872_2026-06-19_11-20-06_066667.ts
126,2026-06-19 12:22:23.750000000,2026-06-19 12:22:25.833333333,2.083333333,1,65.416666667,cortexvpu-01a-005-41884872_2026-06-19_11-21-59_669440.ts,cortexvpu-01a-005-41884872_2026-06-19_11-21-59_669440.ts
127,2026-06-19 12:31:56.666666667,2026-06-19 12:32:04.416666667,7.75,2,570.833333334,cortexvpu-01a-005-41884872_2026-06-19_11-30-07_756523.ts,cortexvpu-01a-005-41884872_2026-06-19_11-32-03_669570.ts
128,2026-06-19 12:36:10.250000000,2026-06-19 12:36:19.666666667,9.416666667,1,245.833333333,cortexvpu-01a-005-41884872_2026-06-19_11-35-55_672958.ts,cortexvpu-01a-005-41884872_2026-06-19_11-35-55_672958.ts
129,2026-06-19 12:42:43.916666667,2026-06-19 12:43:03.000000000,19.083333333,1,384.25,cortexvpu-01a-005-41884872_2026-06-19_11-41-43_735809.ts,cortexvpu-01a-005-41884872_2026-06-19_11-41-43_735809.ts
130,2026-06-19 12:43:45.166666667,2026-06-19 12:43:47.500000000,2.333333333,1,42.166666667,cortexvpu-01a-005-41884872_2026-06-19_11-43-45_100000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-43-45_100000.ts
131,2026-06-19 12:43:53.250000000,2026-06-19 12:44:04.333333333,11.083333333,3,5.75,cortexvpu-01a-005-41884872_2026-06-19_11-43-49_100000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-44-00_100000.ts
132,2026-06-19 12:46:02.750000000,2026-06-19 12:46:03.916666667,1.166666667,1,118.416666667,cortexvpu-01a-005-41884872_2026-06-19_11-45-53_685450.ts,cortexvpu-01a-005-41884872_2026-06-19_11-45-53_685450.ts
133,2026-06-19 12:46:38.166666667,2026-06-19 12:46:42.250000000,4.083333333,1,34.25,cortexvpu-01a-005-41884872_2026-06-19_11-46-38_100000.ts,cortexvpu-01a-005-41884872_2026-06-19_11-46-38_100000.ts
134,2026-06-19 12:51:42.000000000,2026-06-19 12:51:52.416666667,10.416666667,1,299.75,cortexvpu-01a-005-41884872_2026-06-19_11-50-27_708894.ts,cortexvpu-01a-005-41884872_2026-06-19_11-50-27_708894.ts
135,2026-06-19 12:54:38.750000000,2026-06-19 12:54:55.500000000,16.75,1,166.333333333,cortexvpu-01a-005-41884872_2026-06-19_11-54-19_746414.ts,cortexvpu-01a-005-41884872_2026-06-19_11-54-19_746414.ts
136,2026-06-19 13:00:49.166666667,2026-06-19 13:01:00.333333333,11.166666666,1,353.666666667,cortexvpu-01a-005-41884872_2026-06-19_11-59-57_720287.ts,cortexvpu-01a-005-41884872_2026-06-19_11-59-57_720287.ts
137,2026-06-19 13:07:58.416666667,2026-06-19 13:08:05.250000000,6.833333333,1,418.083333334,cortexvpu-01a-005-41884872_2026-06-19_12-07-18_776642.ts,cortexvpu-01a-005-41884872_2026-06-19_12-07-18_776642.ts
138,2026-06-19 13:09:37.750000000,2026-06-19 13:09:52.250000000,14.5,1,92.5,cortexvpu-01a-005-41884872_2026-06-19_12-09-14_766334.ts,cortexvpu-01a-005-41884872_2026-06-19_12-09-14_766334.ts
139,2026-06-19 13:21:15.166666667,2026-06-19 13:21:26.416666667,11.25,1,682.916666667,cortexvpu-01a-005-41884872_2026-06-19_12-20-21_699931.ts,cortexvpu-01a-005-41884872_2026-06-19_12-20-21_699931.ts
140,2026-06-19 13:22:17.166666667,2026-06-19 13:22:20.916666667,3.75,1,50.75,cortexvpu-01a-005-41884872_2026-06-19_12-22-17_727490.ts,cortexvpu-01a-005-41884872_2026-06-19_12-22-17_727490.ts
141,2026-06-19 13:27:28.666666667,2026-06-19 13:27:47.250000000,18.583333333,1,307.75,cortexvpu-01a-005-41884872_2026-06-19_12-26-09_772049.ts,cortexvpu-01a-005-41884872_2026-06-19_12-26-09_772049.ts
142,2026-06-19 13:28:05.166666667,2026-06-19 13:28:08.166666667,3.0,1,17.916666667,cortexvpu-01a-005-41884872_2026-06-19_12-28-05_661644.ts,cortexvpu-01a-005-41884872_2026-06-19_12-28-05_661644.ts
143,2026-06-19 13:28:34.166666667,2026-06-19 13:28:37.916666667,3.75,1,26.0,cortexvpu-01a-005-41884872_2026-06-19_12-28-34_150000.ts,cortexvpu-01a-005-41884872_2026-06-19_12-28-34_150000.ts
144,2026-06-19 13:30:27.166666667,2026-06-19 13:30:31.916666667,4.75,1,109.25,cortexvpu-01a-005-41884872_2026-06-19_12-30-27_755517.ts,cortexvpu-01a-005-41884872_2026-06-19_12-30-27_755517.ts
145,2026-06-19 13:31:24.166666667,2026-06-19 13:31:32.333333333,8.166666666,1,52.25,cortexvpu-01a-005-41884872_2026-06-19_12-31-23_166667.ts,cortexvpu-01a-005-41884872_2026-06-19_12-31-23_166667.ts
146,2026-06-19 13:31:35.166666667,2026-06-19 13:31:37.916666667,2.75,1,2.833333334,cortexvpu-01a-005-41884872_2026-06-19_12-31-35_933333.ts,cortexvpu-01a-005-41884872_2026-06-19_12-31-35_933333.ts
147,2026-06-19 13:40:28.583333333,2026-06-19 13:40:39.083333333,10.5,1,530.666666666,cortexvpu-01a-005-41884872_2026-06-19_12-39-53_774504.ts,cortexvpu-01a-005-41884872_2026-06-19_12-39-53_774504.ts
148,2026-06-19 13:41:49.166666667,2026-06-19 13:41:52.083333333,2.916666666,1,70.083333334,cortexvpu-01a-005-41884872_2026-06-19_12-41-49_723059.ts,cortexvpu-01a-005-41884872_2026-06-19_12-41-49_723059.ts
149,2026-06-19 13:45:44.916666667,2026-06-19 13:45:50.333333333,5.416666666,1,232.833333334,cortexvpu-01a-005-41884872_2026-06-19_12-45-21_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_12-45-21_900000.ts
150,2026-06-19 13:47:14.166666667,2026-06-19 13:47:15.416666667,1.25,1,83.833333334,cortexvpu-01a-005-41884872_2026-06-19_12-47-14_776702.ts,cortexvpu-01a-005-41884872_2026-06-19_12-47-14_776702.ts
151,2026-06-19 13:47:42.166666667,2026-06-19 13:47:50.916666667,8.75,1,26.75,cortexvpu-01a-005-41884872_2026-06-19_12-47-42_183333.ts,cortexvpu-01a-005-41884872_2026-06-19_12-47-42_183333.ts
152,2026-06-19 13:48:01.166666667,2026-06-19 13:48:04.166666667,3.0,1,10.25,cortexvpu-01a-005-41884872_2026-06-19_12-48-01_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_12-48-01_900000.ts
153,2026-06-19 13:54:27.833333333,2026-06-19 13:54:44.500000000,16.666666667,1,383.666666666,cortexvpu-01a-005-41884872_2026-06-19_12-53-46_759612.ts,cortexvpu-01a-005-41884872_2026-06-19_12-53-46_759612.ts
