harford_stop_id,harford_stop_start_time,harford_stop_end_time,harford_interval_seconds,nearest_extracted_interval_id,nearest_extracted_stop_start_time,nearest_extracted_stop_end_time,nearest_extracted_active_delta_seconds,signed_nearest_extracted_active_delta_seconds,nearest_extracted_relation
118,2026-06-19 11:00:26.633,2026-06-19 11:00:48.633,22.0,38,2026-06-19 10:59:33.250000000,2026-06-19 10:59:46.250000000,40.383,-40.383,extracted_before_harford
119,2026-06-19 11:29:28.470,2026-06-19 11:29:59.470,31.000000000000004,39,2026-06-19 11:28:38.916666667,2026-06-19 11:28:42.916666667,45.553333,-45.553333,extracted_before_harford
120,2026-06-19 12:22:03.263,2026-06-19 12:23:00.263,57.0,41,2026-06-19 12:31:56.666666667,2026-06-19 12:32:03.583333333,536.403666,536.403666,extracted_after_harford
121,2026-06-19 13:01:30.552,2026-06-19 13:02:16.552,46.0,45,2026-06-19 13:00:49.166666667,2026-06-19 13:01:00.333333333,30.218666,-30.218666,extracted_before_harford
122,2026-06-19 13:10:13.714,2026-06-19 13:11:25.714,72.0,46,2026-06-19 13:09:37.750000000,2026-06-19 13:09:52.250000000,21.464,-21.464,extracted_before_harford
123,2026-06-19 13:28:04.968,2026-06-19 13:29:55.968,111.0,47,2026-06-19 13:27:28.666666667,2026-06-19 13:27:47.250000000,17.718,-17.718,extracted_before_harford
124,2026-06-19 13:31:32.355,2026-06-19 13:33:15.355,103.0,47,2026-06-19 13:27:28.666666667,2026-06-19 13:27:47.250000000,225.105,-225.105,extracted_before_harford
125,2026-06-19 13:34:43.611,2026-06-19 13:36:21.611,98.0,48,2026-06-19 13:40:28.583333333,2026-06-19 13:40:39.083333333,246.972333,246.972333,extracted_after_harford
126,2026-06-19 13:41:13.472,2026-06-19 13:42:47.472,94.0,48,2026-06-19 13:40:28.583333333,2026-06-19 13:40:39.083333333,34.388666,-34.388666,extracted_before_harford
127,2026-06-19 13:47:20.369,2026-06-19 13:49:18.369,118.0,48,2026-06-19 13:40:28.583333333,2026-06-19 13:40:39.083333333,401.285666,-401.285666,extracted_before_harford
