delta_seconds_added_to_extracted_grouped_events,pearson_correlation,overlapping_marker_seconds,extracted_marker_seconds_after_shift,harford_marker_seconds,event_marker_width_seconds
-300,0.08859513480182234,1118,11894,4970,60
-295,0.08370290034455391,1083,11894,4970,60
-290,0.07923000026933698,1051,11894,4970,60
-285,0.074477543939419,1017,11894,4970,60
-280,0.07054708556131496,989,11896,4970,60
-275,0.06673240293882904,962,11901,4970,60
-270,0.0631985837929083,937,11906,4970,60
-265,0.06008515886409167,915,11911,4970,60
-260,0.05655391370253823,890,11916,4970,60
-255,0.05483927190455719,878,11921,4970,60
-250,0.054800603254587126,878,11926,4970,60
-245,0.05643696790157894,890,11931,4970,60
-240,0.05821228280163023,903,11936,4970,60
-235,0.059986937863769164,916,11941,4970,60
-230,0.060644881797194655,921,11946,4970,60
-225,0.06311582967229055,939,11951,4970,60
-220,0.0641913148028466,947,11956,4970,60
-215,0.06429040312525511,948,11961,4970,60
-210,0.06383184792094357,945,11966,4970,60
-205,0.061979701256518104,932,11971,4970,60
-200,0.05873474099008672,909,11976,4970,60
-195,0.05354044510373325,872,11981,4970,60
-190,0.04862668120201312,837,11986,4970,60
-185,0.04524674843529927,813,11991,4970,60
-180,0.04172882665890166,788,11996,4970,60
-175,0.038908319461028865,768,12001,4970,60
-170,0.03750198857201173,758,12003,4970,60
-165,0.0355530362617144,744,12003,4970,60
-160,0.033464873072110206,729,12003,4970,60
-155,0.03318645131349631,727,12003,4970,60
-150,0.03304724043418931,726,12003,4970,60
-145,0.03416092746864488,734,12003,4970,60
-140,0.03638830153755611,750,12003,4970,60
-135,0.03945094088230909,772,12003,4970,60
-130,0.04265279110636898,795,12003,4970,60
-125,0.04362726726151764,802,12003,4970,60
-120,0.044323321658052334,807,12003,4970,60
-115,0.045297797813200986,814,12003,4970,60
-110,0.04529779781320106,814,12003,4970,60
-105,0.04655069572696363,823,12003,4970,60
-100,0.04905649155448874,841,12003,4970,60
-95,0.05142307650270691,858,12003,4970,60
-90,0.05351123969231117,873,12003,4970,60
-85,0.0550425593646876,884,12003,4970,60
-80,0.05768756607151965,903,12003,4970,60
-75,0.062142314209342076,935,12003,4970,60
-70,0.0667362732264714,968,12003,4970,60
-65,0.07272234103667036,1011,12003,4970,60
-60,0.07870840884686925,1054,12003,4970,60
-55,0.08372000050191938,1090,12003,4970,60
-50,0.08873159215696957,1126,12003,4970,60
-45,0.09318634029479198,1158,12003,4970,60
-40,0.09791951019122831,1192,12003,4970,60
-35,0.10543689767380353,1246,12003,4970,60
-30,0.11615613538043874,1323,12003,4970,60
-25,0.12882432539737124,1414,12003,4970,60
-20,0.14260620244875893,1513,12003,4970,60
