data_present,start,end,valid_cycles,state,video_name,video_path,source,status,reason,n_cycles,cycle_frequency_hz,mean_cycle_frames,cycle_cv,reference_cycle_count,reference_cycle_frequency_hz,reference_mean_cycle_frames,cycle_frequency_ratio_to_reference,matches_reference_frequency,duration_s,fps,n_frames,detection_second,stoppage_context_clip_path,phase_error,inferred_stop_time,previous_video_name,next_video_name,gap_seconds_after_previous_video
y,2026-06-19_17-44-25,2026-06-19_17-44-59,n,present_no_valid_cycles,cortexvpu-01a-005-41884872_2026-06-19_17-44-25_666667.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-44-25_666667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-44-25_666667.ts,no_valid_cycles,"found 0 cycle(s), need 2",0,,,,5.0,0.5675655222864062,273.4,,,33.95,60.0,2037,0.0166666666666666,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\stoppage_context_clips\cortexvpu-01a-005-41884872_2026-06-19_17-44-25_666667__context.mp4,,,,,
y,2026-06-19_17-44-57,2026-06-19_17-45-03,n,present_no_valid_cycles,cortexvpu-01a-005-41884872_2026-06-19_17-44-57_933333.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-44-57_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-44-57_933333.ts,no_valid_cycles,"found 0 cycle(s), need 2",0,,,,5.0,0.5675655222864062,273.4,,,5.95,60.0,357,2.75,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\stoppage_context_clips\cortexvpu-01a-005-41884872_2026-06-19_17-44-57_933333__context.mp4,,,,,
y,2026-06-19_17-45-00,2026-06-19_17-45-07,n,present_no_valid_cycles,cortexvpu-01a-005-41884872_2026-06-19_17-45-00_933333.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-45-00_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-45-00_933333.ts,no_valid_cycles,"found 0 cycle(s), need 2",0,,,,5.0,0.5675655222864062,273.4,,,6.966666666666667,60.0,418,1.5,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\stoppage_context_clips\cortexvpu-01a-005-41884872_2026-06-19_17-45-00_933333__context.mp4,,,,,
y,2026-06-19_17-45-04,2026-06-19_17-45-19,n,present_no_valid_cycles,cortexvpu-01a-005-41884872_2026-06-19_17-45-04_933333.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_17-45-04_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-45-04_933333.ts,no_valid_cycles,"found 0 cycle(s), need 2",0,,,,5.0,0.5675655222864062,273.4,,,14.966666666666669,60.0,898,1.0,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\stoppage_context_clips\cortexvpu-01a-005-41884872_2026-06-19_17-45-04_933333__context.mp4,,,,,
n,2026-06-19_17-45-19,2026-06-20_08-00-41,n,camera_off_after_motion_stop,,,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-45-04_933333.ts,inferred_camera_off,camera off after previous video ended; gap 51322.0s exceeds 20.0s grace,0,,,,,,,,,51322.0,,0,,,,2026-06-19_17-45-19,cortexvpu-01a-005-41884872_2026-06-19_17-45-04_933333.ts,cortexvpu-01a-005-41884872_2026-06-20_08-00-41_769487.ts,51322.0
y,2026-06-20_08-00-41,2026-06-20_08-02-38,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-20_08-00-41_769487.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-20_08-00-41_769487.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-00-41_769487.ts,ok,,9,0.5660377358490566,106.0,0.0062893081760412,5.0,0.5675655222864062,273.4,0.9973081761006288,y,116.6,60.0,6996,0.7,,,,,,
y,2026-06-20_08-02-37,2026-06-20_08-04-34,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-20_08-02-37_756125.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-20_08-02-37_756125.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-02-37_756125.ts,ok,,10,0.56657223796034,105.9,0.0142896562325577,5.0,0.5675655222864062,273.4,0.9982499213094114,y,116.65,60.0,6999,1.0,,,,,,
y,2026-06-20_08-04-33,2026-06-20_08-06-30,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-20_08-04-33_804823.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-20_08-04-33_804823.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-04-33_804823.ts,ok,,13,0.5660377358490566,106.0,0.0052330207190565,5.0,0.5675655222864062,273.4,0.9973081761006288,y,116.6,60.0,6996,0.0833333333333333,,,,,,
y,2026-06-20_08-06-29,2026-06-20_08-08-26,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-20_08-06-29_740230.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-20_08-06-29_740230.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-06-29_740230.ts,ok,,9,0.5666316894018888,105.88888888888889,0.0029679193333887,5.0,0.5675655222864062,273.4,0.998354669464848,y,116.56666666666666,60.0,6994,0.3333333333333333,,,,,,
y,2026-06-20_08-08-25,2026-06-20_08-10-22,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-20_08-08-25_734668.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-20_08-08-25_734668.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-08-25_734668.ts,ok,,9,0.5666316894018888,105.88888888888889,0.005350492668987,5.0,0.5675655222864062,273.4,0.998354669464848,y,116.66666666666669,60.0,7000,0.7333333333333333,,,,,,
y,2026-06-20_08-10-21,2026-06-20_08-12-18,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-20_08-10-21_837498.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-20_08-10-21_837498.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-10-21_837498.ts,ok,,9,0.5678233438485805,105.66666666666669,0.0133837245649184,5.0,0.5675655222864062,273.4,1.0004542586750789,y,116.63333333333334,60.0,6998,1.1333333333333333,,,,,,
