filename,source,processed_at
cortexvpu-01a-005-41884872_2026-06-19_15-48-35_000000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-48-35_000000.ts,2026-07-02T20:19:43.406079
cortexvpu-01a-005-41884872_2026-06-19_15-50-28_089083.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-50-28_089083.ts,2026-07-02T20:19:59.357409
cortexvpu-01a-005-41884872_2026-06-19_15-52-24_067810.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-52-24_067810.ts,2026-07-02T20:20:27.493177
cortexvpu-01a-005-41884872_2026-06-19_15-54-20_060566.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-54-20_060566.ts,2026-07-02T20:20:52.936415
cortexvpu-01a-005-41884872_2026-06-19_15-56-16_087857.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-56-16_087857.ts,2026-07-02T20:21:21.147286
cortexvpu-01a-005-41884872_2026-06-19_15-58-12_108528.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-58-12_108528.ts,2026-07-02T20:21:38.447419
cortexvpu-01a-005-41884872_2026-06-19_16-00-08_101391.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-00-08_101391.ts,2026-07-02T20:22:05.517271
cortexvpu-01a-005-41884872_2026-06-19_16-01-27_500000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-01-27_500000.ts,2026-07-02T20:22:22.489314
cortexvpu-01a-005-41884872_2026-06-19_16-02-02_500000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-02-02_500000.ts,2026-07-02T20:22:44.729442
cortexvpu-01a-005-41884872_2026-06-19_16-02-55_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-02-55_933333.ts,2026-07-02T20:22:49.894500
cortexvpu-01a-005-41884872_2026-06-19_16-03-02_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-03-02_933333.ts,2026-07-02T20:23:16.047604
cortexvpu-01a-005-41884872_2026-06-19_16-04-56_133051.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-04-56_133051.ts,2026-07-02T20:23:24.779627
cortexvpu-01a-005-41884872_2026-06-19_16-05-02_500000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-05-02_500000.ts,2026-07-02T20:23:56.260722
